,0
0,0.000607365109115151
1,0.0003374964339401872
2,0.00022068845214403448
3,0.00016965533602317708
4,0.00013804200785826198
5,0.00012345439596138106
6,0.00011236447166916699
7,0.00010658608355061913
8,0.0001021540447942148
9,9.949433667763044e-05
10,9.517476713718993e-05
11,9.534146636103159e-05
12,9.023761410146846e-05
13,8.98435029785437e-05
14,8.669403472992486e-05
15,8.51633854601575e-05
16,8.526070289029387e-05
17,8.234250445799995e-05
18,8.290088185514886e-05
19,8.20036632103407e-05
20,8.102005615028244e-05
21,8.00303789372611e-05
22,7.801740604751302e-05
23,7.88517189762962e-05
24,7.636695818538747e-05
25,7.687650751598705e-05
26,7.607404049057907e-05
27,7.376150971710231e-05
28,7.546688176199988e-05
29,7.538365147829055e-05
30,7.401553952890325e-05
31,7.387023368739433e-05
32,7.282088437028346e-05
33,7.27594062668221e-05
34,7.335223788948774e-05
35,7.297382521011165e-05
36,7.311253397771438e-05
37,7.16837791954085e-05
38,7.182615394858341e-05
39,6.986291757547627e-05
40,7.080006207591137e-05
41,7.116984390724272e-05
42,6.946142186234529e-05
43,6.808776962635435e-05
44,6.98974660933671e-05
45,7.00376222373975e-05
46,6.816823634483273e-05
47,6.908602669933943e-05
48,6.710353073298204e-05
49,6.880377219909244e-05
50,6.88144283958557e-05
51,6.754284580282625e-05
52,6.733416523979207e-05
53,6.645272501022394e-05
54,6.74014710610739e-05
55,6.651187766576609e-05
56,6.611326732968077e-05
57,6.514823227163784e-05
58,6.647963336386363e-05
59,6.579854801007281e-05
60,6.534009241373698e-05
61,6.526315438444846e-05
62,6.502405928667665e-05
63,6.511657776510749e-05
64,6.575689250165637e-05
65,6.454799274858232e-05
66,6.386125830801657e-05
67,6.352507631624462e-05
68,6.324033744018468e-05
69,6.46893757392615e-05
70,6.333861570730919e-05
71,6.329593707796065e-05
72,6.247065773071386e-05
73,6.28507430396655e-05
74,6.29144060931528e-05
75,6.323731165923442e-05
76,6.128934900681023e-05
77,6.090881541840157e-05
78,6.067821203080448e-05
79,6.154847268432224e-05
80,6.124037531801548e-05
81,6.164454358434965e-05
82,6.202267708493575e-05
83,6.252248693596728e-05
84,6.136436586137496e-05
85,6.131670202272022e-05
86,6.197833546333709e-05
87,5.981029914751365e-05
88,6.144203945790217e-05
89,6.106225815886213e-05
90,6.039069351927135e-05
91,6.109950323194027e-05
92,6.024652917578904e-05
93,5.9380246978122826e-05
94,6.067592164365857e-05
95,5.98655958841548e-05
96,5.990419170194086e-05
97,6.055870489096474e-05
98,5.9390332517905035e-05
99,5.9884562407330306e-05
100,6.019985048178371e-05
101,5.8773083748716994e-05
102,5.823196552979687e-05
103,5.863766388247523e-05
104,5.863027269175134e-05
105,5.880429891895258e-05
106,5.85026614509014e-05
107,5.798262136540088e-05
108,5.920145604194675e-05
109,5.881758668100854e-05
110,5.772594092513312e-05
111,5.7644648980165003e-05
112,5.841131094256437e-05
113,5.71374654154027e-05
114,5.785608443066273e-05
115,5.782894434995582e-05
116,5.677166130273454e-05
117,5.752754202191207e-05
118,5.6541768620210894e-05
119,5.715155639252552e-05
120,5.7045110868139275e-05
121,5.612281206852787e-05
122,5.751875228076163e-05
123,5.6135326692536064e-05
124,5.6200736204388925e-05
125,5.547623878098348e-05
126,5.6403528087863716e-05
127,5.703675743461118e-05
128,5.739300211737226e-05
129,5.599204140296029e-05
130,5.534466419771527e-05
131,5.626294559987207e-05
132,5.49813217909882e-05
133,5.6067614100133995e-05
134,5.53174407706099e-05
135,5.600684310642275e-05
136,5.49071757380987e-05
137,5.5339687544301935e-05
138,5.447892908666367e-05
139,5.566361150731908e-05
140,5.575089780976981e-05
141,5.686124584042426e-05
142,5.635466901654476e-05
143,5.51956828711518e-05
144,5.468935404225115e-05
145,5.516714642755848e-05
146,5.4290424315290325e-05
147,5.379298598857976e-05
148,5.4072911932446854e-05
149,5.4236106795123316e-05
150,5.465531688903393e-05
151,5.47128565548523e-05
152,5.4177823023572206e-05
153,5.313488045604275e-05
154,5.3758760071088326e-05
155,5.490405308601687e-05
156,5.3995663002852205e-05
157,5.406520314215845e-05
158,5.405837336758374e-05
159,5.420379166438063e-05
160,5.319171784280895e-05
161,5.3366356887431226e-05
162,5.3892023178594005e-05
163,5.4385705118797594e-05
164,5.315612519173465e-05
165,5.39170079541031e-05
166,5.344533526708809e-05
167,5.3029976729362744e-05
168,5.404985755290677e-05
169,5.234487104045337e-05
170,5.3396578695139e-05
171,5.3212943779576264e-05
172,5.237924972426307e-05
173,5.238291668185388e-05
174,5.3041753322093076e-05
175,5.3131837114733465e-05
176,5.385912090994695e-05
177,5.319279077940407e-05
178,5.3344687595634086e-05
179,5.271374536077582e-05
180,5.270353532003653e-05
181,5.194577443489807e-05
182,5.2492119378709085e-05
183,5.2257779608761606e-05
184,5.258867666803964e-05
185,5.2703399221309446e-05
186,5.2092733675825715e-05
187,5.2786997684785954e-05
188,5.167802897873594e-05
189,5.2587810382622955e-05
190,5.2972458720673805e-05
191,5.2481059297241895e-05
192,5.14231919560801e-05
193,5.221402762791976e-05
194,5.1716828653367845e-05
195,5.205112235736314e-05
196,5.089791256456122e-05
197,5.224535858576485e-05
198,5.1475831668332344e-05
199,5.145669113177268e-05
200,5.1314316954425695e-05
201,5.20604135020269e-05
202,5.128815050282808e-05
203,5.1328918369693254e-05
204,5.232877520478981e-05
205,5.083579627253922e-05
206,5.2321637609208707e-05
207,5.2340200118457846e-05
208,5.184853094327065e-05
209,5.034180051227659e-05
210,5.137409580014859e-05
211,5.18406612639258e-05
212,5.1068597063612065e-05
213,4.986615268715116e-05
214,5.015493137321368e-05
215,5.10512347482203e-05
216,5.094856267563405e-05
217,5.0196810744271473e-05
218,5.1057942096693174e-05
219,5.080483660446397e-05
220,5.081971028784327e-05
221,5.090830129729371e-05
222,5.0515786842844136e-05
223,5.061139843489599e-05
224,5.078065787413275e-05
225,5.101501021873164e-05
226,4.991947253135996e-05
227,4.919686709115814e-05
228,5.055045716675966e-05
229,4.9661131904949106e-05
230,5.0245786338558704e-05
231,4.930430443799693e-05
232,5.0291312316188384e-05
233,5.0877626341217445e-05
234,5.0241961383402346e-05
235,5.0780777496602166e-05
236,5.052195209184402e-05
237,5.033242778981321e-05
238,5.0444919296811506e-05
239,4.909642214423401e-05
240,5.02376105346573e-05
241,5.059542991725563e-05
242,4.9807583800829835e-05
243,5.031774807397663e-05
244,4.910025590205173e-05
245,4.8752536456407654e-05
246,4.982166170451382e-05
247,4.946887515608865e-05
248,4.962342807577958e-05
249,4.9593840901521197e-05
250,4.969495149219854e-05
251,4.97426854346336e-05
252,4.907621325080258e-05
253,5.02220302459103e-05
254,4.826498925115504e-05
255,4.971702997431661e-05
256,4.9295789902497044e-05
257,4.9226111207160335e-05
258,4.859703052430818e-05
259,4.928599393633223e-05
260,5.006227523516765e-05
261,4.993191726358596e-05
262,4.948983877965268e-05
263,4.982480833181547e-05
264,4.897498579034446e-05
265,4.91919401117265e-05
266,4.911103549188194e-05
267,4.883750335047451e-05
268,4.860002972916534e-05
269,4.922546375423823e-05
270,4.872892727855638e-05
271,4.8394368796786964e-05
272,4.828611722658562e-05
273,4.901642773037242e-05
274,4.730928070312528e-05
275,4.833081183325659e-05
276,4.773156479903169e-05
277,4.8620929208010434e-05
278,4.767594352203475e-05
279,4.8208403574086784e-05
280,4.898172254592677e-05
281,4.8961178544001735e-05
282,4.8526202686567694e-05
283,4.841422232426618e-05
284,4.910190955926625e-05
285,4.89203881509524e-05
286,4.848867704107142e-05
287,4.8427992746788044e-05
288,4.776206274206644e-05
289,4.779958141547811e-05
290,4.834824628876705e-05
291,4.886256900625391e-05
292,4.719726786278629e-05
293,4.814880857455964e-05
294,4.8298322542566614e-05
295,4.7005696983130974e-05
296,4.8404633924641376e-05
297,4.8379142087822084e-05
298,4.8276083029213763e-05
299,4.73917790101443e-05
300,4.723838692420672e-05
301,4.832469353052492e-05
302,4.689841730855602e-05
303,4.816251541585566e-05
304,4.7817529416159715e-05
305,4.7989768154502874e-05
306,4.740503985583144e-05
307,4.841126258382956e-05
308,4.8881790977211296e-05
309,4.7775317228557634e-05
310,4.82432082286626e-05
311,4.746361739490342e-05
312,4.7974312475322864e-05
313,4.8046499284992786e-05
314,4.839394015742439e-05
315,4.7109007780434086e-05
316,4.754257700233059e-05
317,4.710420500845451e-05
318,4.85250738013392e-05
319,4.6722569874567855e-05
320,4.746975698555605e-05
321,4.782000452240914e-05
322,4.779206906318609e-05
323,4.7333015398052126e-05
324,4.753557482454294e-05
325,4.725306576103996e-05
326,4.7416002561889795e-05
327,4.716083170852024e-05
328,4.703276144217761e-05
329,4.748928884759521e-05
330,4.798477061152751e-05
331,4.6885243110574785e-05
332,4.78947717148379e-05
333,4.800726132170659e-05
334,4.74583894624918e-05
335,4.751710430836975e-05
336,4.733287133197045e-05
337,4.657048166217073e-05
338,4.6538208851000324e-05
339,4.710152485865435e-05
340,4.797728414914404e-05
341,4.7423573905890614e-05
342,4.792894410068131e-05
343,4.664256369525227e-05
344,4.704268546193268e-05
345,4.68938487736491e-05
346,4.710455772580266e-05
347,4.6867341071773564e-05
348,4.641927631596819e-05
349,4.650198307814574e-05
350,4.6608543905080715e-05
351,4.674390377343779e-05
352,4.6927998971776536e-05
353,4.686460583216353e-05
354,4.71648856085859e-05
355,4.736327723504755e-05
356,4.6707562426334385e-05
357,4.613121044459978e-05
358,4.5971862167840706e-05
359,4.615251671536014e-05
360,4.737021466574813e-05
361,4.656071106585113e-05
362,4.674188288964354e-05
363,4.676075778046793e-05
364,4.6905946866541715e-05
365,4.706718098092062e-05
366,4.6679663302115366e-05
367,4.671781012571756e-05
368,4.641735546347862e-05
369,4.708959242944829e-05
370,4.699042459921016e-05
371,4.611102814320301e-05
372,4.6067468342216034e-05
373,4.569772057944562e-05
374,4.686450391173179e-05
375,4.648462607592542e-05
376,4.658336770779238e-05
377,4.6370978074240615e-05
378,4.5985125530917645e-05
379,4.6370006547798116e-05
380,4.702291754530937e-05
381,4.627976331495272e-05
382,4.582770303698262e-05
383,4.582743080734491e-05
384,4.708392247591174e-05
385,4.497469061578075e-05
386,4.6420772283959716e-05
387,4.654980232981338e-05
388,4.675546258647225e-05
389,4.648500344606873e-05
390,4.7110534191663385e-05
391,4.628791339970893e-05
392,4.581069490648454e-05
393,4.6625228133316005e-05
394,4.530117410786002e-05
395,4.6358250967237666e-05
396,4.592277975067354e-05
397,4.56700648172831e-05
398,4.59980359330089e-05
399,4.595684114182004e-05
400,4.635718462785136e-05
401,4.5376420401847503e-05
402,4.631967544739098e-05
403,4.581534005837266e-05
404,4.603204695393139e-05
405,4.568940710566206e-05
406,4.5964853112849294e-05
407,4.540392102937575e-05
408,4.531349881950837e-05
409,4.623593960749447e-05
410,4.5912467815453066e-05
411,4.568044267724027e-05
412,4.6709404351164676e-05
413,4.604865333019764e-05
414,4.649740887854679e-05
415,4.54742483936115e-05
416,4.5739280846512045e-05
417,4.538309388317203e-05
418,4.5897705428973866e-05
419,4.574593238193558e-05
420,4.5690723230959494e-05
421,4.6190675458948556e-05
422,4.5097888996930146e-05
423,4.5370730692588664e-05
424,4.5806569302623626e-05
425,4.5142562297056894e-05
426,4.550403486064324e-05
427,4.579863825456718e-05
428,4.5769897131897655e-05
429,4.547051594026055e-05
430,4.489958675621561e-05
431,4.518073447656598e-05
432,4.551779830608618e-05
433,4.598246719647656e-05
434,4.4900866215725085e-05
435,4.525454327043213e-05
436,4.554275523225105e-05
437,4.5719125939820523e-05
438,4.509979636524839e-05
439,4.5913878014818625e-05
440,4.409934823670654e-05
441,4.51059527306812e-05
442,4.436033983957371e-05
443,4.4743985126140725e-05
444,4.5428512393800566e-05
445,4.568235874512232e-05
446,4.586056771891971e-05
447,4.5216450322660945e-05
448,4.552231592128743e-05
449,4.492720324077128e-05
450,4.53268604435385e-05
451,4.556796927330613e-05
452,4.493169500677001e-05
453,4.528940627038638e-05
454,4.480746546908133e-05
455,4.5254695277632936e-05
456,4.56514487933361e-05
457,4.5823621812431404e-05
458,4.5629323538834266e-05
459,4.4514796752023754e-05
460,4.51730886967997e-05
461,4.405548748158836e-05
462,4.5398366470682456e-05
463,4.485709804583916e-05
464,4.54391331667278e-05
465,4.53885254819595e-05
466,4.5235544171712814e-05
467,4.451075309775689e-05
468,4.480716215039875e-05
469,4.487284974288571e-05
470,4.470821370458756e-05
471,4.515156644688269e-05
472,4.512142463585688e-05
473,4.532072409928644e-05
474,4.4010990873768575e-05
475,4.4852579333119336e-05
476,4.567202815437785e-05
477,4.4587981612826517e-05
478,4.521593275788405e-05
479,4.5003336729519494e-05
480,4.511954645354946e-05
481,4.5050910083460115e-05
482,4.467884124706269e-05
483,4.486871747372439e-05
484,4.506230519465817e-05
485,4.4389267082410134e-05
486,4.510154719320604e-05
487,4.4079601162588455e-05
488,4.46399247961263e-05
489,4.411097204446253e-05
490,4.428158255863022e-05
491,4.4844962457254004e-05
492,4.515734488407592e-05
493,4.4529203042207e-05
494,4.4716130077950564e-05
495,4.534239462942885e-05
496,4.505843203358295e-05
497,4.443976671100823e-05
498,4.459352487495092e-05
499,4.4498844484780695e-05
