,0
0,0.001673323068190763
1,0.000158284503040576
2,0.0001522170709499123
3,0.000144820404439525
4,0.00014041511893978767
5,0.00013572633773923273
6,0.0001308643869456951
7,0.00012658107815450938
8,0.00012519103278472754
9,0.00012056392966277496
10,0.00011501038253276069
11,0.0001129523348515678
12,0.000110466242099379
13,0.0001091168333749877
14,0.00010536031159860585
15,0.00010405823634298145
16,0.00010148252690184052
17,0.00010058414009657399
18,9.775653520006187e-05
19,9.741333988306193e-05
20,9.530641097416678e-05
21,9.294622621185494e-05
22,9.10950303318318e-05
23,9.105979102103559e-05
24,9.124338999958671e-05
25,8.881655118374085e-05
26,8.740762375401369e-05
27,8.5328654438358e-05
28,8.511021275999608e-05
29,8.473312513843135e-05
30,8.322834610739938e-05
31,8.237139073884532e-05
32,8.119071972625315e-05
33,7.909819121794058e-05
34,8.05162086799206e-05
35,7.844916912140154e-05
36,7.760440678805856e-05
37,7.644516531492255e-05
38,7.617341471964735e-05
39,7.524987292185787e-05
40,7.43997498685588e-05
41,7.30230986849634e-05
42,7.265828704889731e-05
43,7.19216801005712e-05
44,7.149897052904904e-05
45,7.074907353527514e-05
46,7.029928541541217e-05
47,6.971916021575698e-05
48,6.923153515551984e-05
49,6.8143228095553e-05
50,6.678202897454802e-05
51,6.669748755418529e-05
52,6.667013032893366e-05
53,6.678047758618931e-05
54,6.444535053098875e-05
55,6.530734170824863e-05
56,6.426018863514717e-05
57,6.379769229159638e-05
58,6.394174774105381e-05
59,6.316713781252275e-05
60,6.311524216986066e-05
61,6.166467677621588e-05
62,6.143432489562936e-05
63,6.0950695018106954e-05
64,5.9999704781321356e-05
65,6.044843117665861e-05
66,5.878555046305569e-05
67,5.875217345578129e-05
68,5.791129804003427e-05
69,5.72622253098803e-05
70,5.739692347241545e-05
71,5.7201676668089965e-05
72,5.652014347955008e-05
73,5.720378504326974e-05
74,5.622454353708128e-05
75,5.482067073009174e-05
76,5.562369644485917e-05
77,5.4938407463351364e-05
78,5.552867401847704e-05
79,5.4727067345016756e-05
80,5.515454379825038e-05
81,5.415402114688546e-05
82,5.379795031914826e-05
83,5.374752918960988e-05
84,5.3162577215457245e-05
85,5.3530505888492546e-05
86,5.31783381489683e-05
87,5.346534490648929e-05
88,5.355875126341022e-05
89,5.234076223070033e-05
90,5.347947021471618e-05
91,5.327194666874388e-05
92,5.252542915868887e-05
93,5.290187522636337e-05
94,5.2105543683898165e-05
95,5.191636680110027e-05
96,5.2340143709474195e-05
97,5.204686195720378e-05
98,5.198011250975529e-05
99,5.186300339015213e-05
100,5.141403403927823e-05
101,5.185454080697588e-05
102,5.118304735957043e-05
103,5.0979324764122124e-05
104,5.0499810635019314e-05
105,5.0505756238782016e-05
106,5.0885701712461295e-05
107,5.096488007745806e-05
108,5.058883888175421e-05
109,5.017497225141127e-05
110,5.04324319741108e-05
111,4.9877980390077515e-05
112,5.069321508318909e-05
113,4.966685359384726e-05
114,5.039495694524698e-05
115,5.077016318374802e-05
116,4.896729949984663e-05
117,5.0092680775300825e-05
118,4.982561083377573e-05
119,4.9912830208519714e-05
120,4.9583958868102875e-05
121,4.9270385864251366e-05
122,4.9626872369283564e-05
123,4.909787343062267e-05
124,4.959823207408178e-05
125,4.9539256595993186e-05
126,4.9364753574093944e-05
127,4.94107798006496e-05
128,4.909889830501539e-05
129,4.853294880848664e-05
130,4.8381520486712815e-05
131,4.886542241235621e-05
132,4.841092648055612e-05
133,4.862398919179129e-05
134,4.886820323064846e-05
135,4.893956980169088e-05
136,4.865859070124073e-05
137,4.877238086388056e-05
138,4.873924098927015e-05
139,4.905665651178272e-05
140,4.925707181028e-05
141,4.8328843308377355e-05
142,4.825924949460982e-05
143,4.833445721763234e-05
144,4.802536124449607e-05
145,4.7701631193169864e-05
146,4.783641134139742e-05
147,4.893330696418249e-05
148,4.848732381098063e-05
149,4.831680160088469e-05
150,4.823223672375251e-05
151,4.769509004167505e-05
152,4.783008429214755e-05
153,4.793543823112513e-05
154,4.778858428938776e-05
155,4.7999276013873973e-05
156,4.8011416892819946e-05
157,4.757550152840464e-05
158,4.842135378183272e-05
159,4.812153601035296e-05
160,4.758260453958623e-05
161,4.748396648727246e-05
162,4.815861194579207e-05
163,4.761176151940828e-05
164,4.7114844191138445e-05
165,4.7794251645023894e-05
166,4.7269087998632684e-05
167,4.8002313723793064e-05
168,4.7681085054151323e-05
169,4.7245915348172346e-05
170,4.705012572007447e-05
171,4.6527689852342694e-05
172,4.6891503569831046e-05
173,4.720925133205474e-05
174,4.733952250275737e-05
175,4.700360799611906e-05
176,4.70057325484898e-05
177,4.6715539982471954e-05
178,4.7409637205705965e-05
179,4.716609135815946e-05
180,4.704176546376011e-05
181,4.666253351604344e-05
182,4.661699089960519e-05
183,4.673596783611392e-05
184,4.7163323247190586e-05
185,4.606902591812544e-05
186,4.746581362175839e-05
187,4.6729511311878125e-05
188,4.664885088441847e-05
189,4.616732486552934e-05
190,4.643171753231659e-05
191,4.669562891173509e-05
192,4.688925730308482e-05
193,4.627029587587545e-05
194,4.639418516354742e-05
195,4.6891443130606017e-05
196,4.6896874366014724e-05
197,4.5996206237984316e-05
198,4.626077132981269e-05
199,4.639512768108544e-05
200,4.589226983771372e-05
201,4.600154877066622e-05
202,4.689034461173632e-05
203,4.6122284333430766e-05
204,4.6310090995219764e-05
205,4.6211329822738574e-05
206,4.665879029706217e-05
