,0
0,0.0011073057223602923
1,0.0003717572091866884
2,0.0002634463521139656
3,0.0002382445406307643
4,0.00021892934107732324
5,0.00020713456454827611
6,0.00019105449588925703
7,0.00018223950475755973
8,0.0001740190241273069
9,0.0001654326758631083
10,0.00016154516244715187
11,0.000154340154567021
12,0.000155183204018251
13,0.000147736900976205
14,0.00014740912944660958
15,0.00013921391534157303
16,0.00013282630219955572
17,0.00013413945989222337
18,0.00012836378982181718
19,0.00012466974698245419
20,0.00012385598443697803
21,0.00012047688980751843
22,0.00011702589785641886
23,0.00011436880183826376
24,0.00011284670327657223
25,0.00011106440965918993
26,0.00010853874972601877
27,0.00010690901075285259
28,0.00010561777068908302
29,0.00010437220575973463
30,0.00010474793191922724
31,0.00010095843995321328
32,0.00010054704679194658
33,9.715593363806688e-05
34,9.705824319032476e-05
35,9.823477960897123e-05
36,9.675902907581885e-05
37,9.168144439509694e-05
38,9.32397576847654e-05
39,9.39097597771197e-05
40,9.120312040909033e-05
41,9.170885458558804e-05
42,8.811817066791547e-05
43,8.792834972914587e-05
44,8.888939477338493e-05
45,8.935545622599812e-05
46,8.836966718451027e-05
47,8.562897625766474e-05
48,8.38732043587148e-05
49,8.403366480608037e-05
50,8.163215779646174e-05
51,8.121110349946661e-05
52,8.138268121453594e-05
53,8.268503291301003e-05
54,7.988494379478429e-05
55,7.991776188847141e-05
56,8.08872349156466e-05
57,7.623644858148688e-05
58,8.20166564537408e-05
59,7.830034674275206e-05
60,7.610317129928814e-05
61,7.710565783618486e-05
62,7.625077587351741e-05
63,7.7906121194956e-05
64,7.476381517825563e-05
65,7.725792752044697e-05
66,7.333241745179375e-05
67,7.357684246687303e-05
68,7.626655019336883e-05
69,7.396157391341582e-05
70,7.338687182259376e-05
71,7.301943065441668e-05
72,7.243962893771483e-05
73,7.379257779810812e-05
74,7.252085584432011e-05
75,7.214973703628207e-05
76,7.029929573863085e-05
77,7.35716538257862e-05
78,7.14584608878583e-05
79,7.189276253421067e-05
80,7.013013511520666e-05
81,7.090499657636597e-05
82,7.03367100600876e-05
83,6.68475680583358e-05
84,7.01892146643456e-05
85,6.895885778940298e-05
86,6.811491347644345e-05
87,6.899028211239401e-05
88,6.714973404410831e-05
89,6.719196096527517e-05
90,6.857514436126016e-05
91,6.840177125073318e-05
92,6.668686212397551e-05
93,6.747086141351875e-05
94,6.74928054206169e-05
95,6.652462629682339e-05
96,6.769571595490578e-05
97,6.610795728608749e-05
98,6.581606703442905e-05
99,6.478186102832457e-05
100,6.34323584120039e-05
101,6.366375682224535e-05
102,6.395780160123058e-05
103,6.692201882154418e-05
104,6.661676651918223e-05
105,6.510442119007548e-05
106,6.442632749533913e-05
107,6.287162083261278e-05
108,6.406167827911191e-05
109,6.171093591027435e-05
110,6.460898603171522e-05
111,6.185727848296541e-05
112,6.352565684418806e-05
113,6.364043954704909e-05
114,6.34310408132623e-05
115,6.31779489333408e-05
116,6.237117798865649e-05
117,6.187491260801636e-05
118,6.092131870624773e-05
119,6.23295360931871e-05
120,6.203465382617649e-05
121,6.247793402018638e-05
122,6.178568145339764e-05
123,6.179799653964913e-05
124,6.11088245281909e-05
125,6.0398560094514564e-05
126,6.0149503551470374e-05
127,5.915450390942978e-05
128,5.983731204720359e-05
129,5.993559321576141e-05
130,6.015973907597193e-05
131,6.0169069524163186e-05
132,5.842953326353511e-05
133,6.03239937473151e-05
134,5.9378469515709446e-05
135,5.955862114300438e-05
136,6.179059327824221e-05
137,5.867844372663044e-05
138,5.9012279516170026e-05
139,5.8424186207743616e-05
140,5.8989877597206366e-05
141,5.8701639964383874e-05
142,5.9720070190709945e-05
143,5.945934814129291e-05
144,5.847287925844422e-05
145,5.92558002962496e-05
146,5.8599754959014154e-05
147,6.0740816908236346e-05
148,5.914050495959298e-05
149,5.828685177055952e-05
150,5.813085181816434e-05
151,5.852357759703621e-05
152,5.804729736825872e-05
153,5.8869567367935526e-05
154,5.752457882884554e-05
155,5.925135792624862e-05
156,5.755713767464433e-05
157,5.7153787746468757e-05
158,5.7547200407677e-05
159,5.765932440529918e-05
160,5.8493174210753066e-05
161,5.772950279767739e-05
162,5.760827005339593e-05
163,5.743205939608202e-05
164,5.61640177715285e-05
165,5.739296760101123e-05
166,5.731520510252575e-05
167,5.681705470648507e-05
168,5.703648941110815e-05
169,5.6752588225459743e-05
170,5.672773543615347e-05
171,5.6565340533318074e-05
172,5.8673764667721624e-05
173,5.7206324517476755e-05
174,5.649345368767129e-05
175,5.531969876088548e-05
176,5.626003201640123e-05
177,5.555813550057911e-05
178,5.767321604632418e-05
179,5.747620465949656e-05
180,5.548853042061612e-05
181,5.5619391896311874e-05
182,5.474095044096855e-05
183,5.673201100889534e-05
184,5.741250192938448e-05
185,5.7621113374066255e-05
186,5.73488812629443e-05
187,5.567661319151489e-05
188,5.418949376592779e-05
189,5.4614883353951275e-05
190,5.415764260803803e-05
191,5.458351088063527e-05
192,5.4641249350122135e-05
193,5.4301136953701296e-05
194,5.532819498312283e-05
195,5.6382083087245576e-05
196,5.5921296767577474e-05
197,5.568989067230704e-05
198,5.284892709366435e-05
199,5.5230705985033025e-05
200,5.489243963078595e-05
201,5.4798433838509096e-05
202,5.506464070921686e-05
203,5.574570204668504e-05
204,5.440432856288068e-05
205,5.4533547317700995e-05
206,5.486177838514822e-05
207,5.33686616903058e-05
208,5.5103427928213526e-05
209,5.366825006525957e-05
210,5.544540041917319e-05
211,5.399293564661721e-05
212,5.467636154884706e-05
213,5.445560808569247e-05
214,5.276668973324582e-05
215,5.449957024757368e-05
216,5.4192804511777054e-05
217,5.2739846960179004e-05
218,5.4456015789627616e-05
219,5.3632129250625574e-05
220,5.3826429813920284e-05
221,5.3767722437686885e-05
222,5.284886851204103e-05
223,5.265650080631122e-05
224,5.3589174767870814e-05
225,5.4458178205971544e-05
226,5.392375504535171e-05
227,5.435064140998923e-05
228,5.28243180915466e-05
229,5.344002556943488e-05
230,5.26118587211604e-05
231,5.2536346765110095e-05
232,5.348018618081525e-05
233,5.323994447304499e-05
234,5.2257811196883664e-05
235,5.2067775585458834e-05
236,5.185903646375685e-05
237,5.323160262650599e-05
238,5.1743690560490995e-05
239,5.3978434565954596e-05
240,5.242256855906714e-05
241,5.162086475976444e-05
242,5.344537598057687e-05
243,5.114986863675108e-05
244,5.309978623129218e-05
245,5.3421289847709035e-05
246,5.2929319466260663e-05
247,5.0995556482282444e-05
248,5.26607382555008e-05
249,5.3427635393565286e-05
250,5.207401993330747e-05
251,5.3391613875786925e-05
252,5.115514262340908e-05
253,5.197094918160117e-05
254,5.3356450003500536e-05
255,5.194331516021868e-05
256,5.219822207310646e-05
257,5.159842137086165e-05
258,5.1835254057789544e-05
259,5.3309372150325903e-05
260,5.041841237356494e-05
261,5.1218680438585356e-05
262,5.2136205495438676e-05
263,5.1177159059399686e-05
264,5.229885400594092e-05
265,5.241610406570758e-05
266,5.158841972109214e-05
267,5.125383440844876e-05
268,5.173769032932405e-05
269,5.242965893700733e-05
270,5.045139054831631e-05
271,5.1690077545457524e-05
272,4.98950716325995e-05
273,5.158234152882237e-05
274,5.0142555369529684e-05
275,5.081627951625139e-05
276,5.104054981207333e-05
277,5.2026951469233126e-05
278,5.1904496452735844e-05
