,0
0,0.000841990736067763
1,0.00024085027430433735
2,0.00017905156419565404
3,0.00014863529663983692
4,0.0001328670661924084
5,0.00012007714737334893
6,0.00011094226799830127
7,0.00010491544048321278
8,0.0001027225498318951
9,0.00010095871467939168
10,9.760121888329787e-05
11,9.519879069674113e-05
12,9.254942371744508e-05
13,9.385687208220288e-05
14,8.916708479003217e-05
15,8.895392069210819e-05
16,8.432128859006303e-05
17,8.603531395710036e-05
18,8.416819283891782e-05
19,8.369325389671698e-05
20,8.352858539107034e-05
21,8.187876366382119e-05
22,7.930094153952433e-05
23,7.871777703320847e-05
24,7.739060194522786e-05
25,7.712362551658274e-05
26,7.671767933430996e-05
27,7.536311130469768e-05
28,7.493127428167141e-05
29,7.497620520321145e-05
30,7.36613795329808e-05
31,7.293843517036643e-05
32,7.231943389229278e-05
33,7.073055762369057e-05
34,6.990856202686744e-05
35,6.857355990537172e-05
36,6.799933450146387e-05
37,6.823779708306667e-05
38,6.891243238480904e-05
39,6.717866334095336e-05
40,6.831439439153469e-05
41,6.701333148780477e-05
42,6.615289116975191e-05
43,6.559725411294756e-05
44,6.558100057935843e-05
45,6.48981078151542e-05
46,6.418394571873852e-05
47,6.438674177598367e-05
48,6.290661716096935e-05
49,6.263916322182342e-05
50,6.316453175628562e-05
51,6.233987382277405e-05
52,6.22445082914832e-05
53,6.157801030768695e-05
54,6.024768311708799e-05
55,6.300001843027933e-05
56,5.942662612168444e-05
57,6.075051195490619e-05
58,6.031284081275187e-05
59,6.000357529575114e-05
60,6.0402837789075746e-05
61,5.982139514153124e-05
62,5.866793235688406e-05
63,5.9028778991493e-05
64,5.9457578240614547e-05
65,5.922971347060942e-05
66,5.931207826651321e-05
67,5.8501189589632575e-05
68,5.905894002186684e-05
69,5.766481241420011e-05
70,5.779600859364142e-05
71,5.806316721561353e-05
72,5.8258700552291745e-05
73,5.818362075800068e-05
74,5.767829970641927e-05
75,5.785905812705534e-05
76,5.775188329104529e-05
77,5.769517543211148e-05
78,5.7609434707490216e-05
79,5.632928320610031e-05
80,5.5000665644618745e-05
81,5.5603725209066596e-05
82,5.599623002382601e-05
83,5.74300214200918e-05
84,5.496333883645789e-05
85,5.5354672261641874e-05
86,5.501286673472502e-05
87,5.6481596576083405e-05
88,5.444178869449513e-05
89,5.5975360487595875e-05
90,5.4340780944573275e-05
91,5.482000610283281e-05
92,5.453711084838338e-05
93,5.419430059668234e-05
94,5.445514620523753e-05
95,5.464419225937785e-05
96,5.4045779691128543e-05
97,5.373653030970978e-05
98,5.3927808742647965e-05
99,5.349931945567107e-05
100,5.278966013862771e-05
101,5.3691844274245484e-05
102,5.380798427781829e-05
103,5.3674388400574616e-05
104,5.393172402299427e-05
105,5.303510667601772e-05
106,5.2762554996327135e-05
107,5.340240281518863e-05
108,5.294305254078959e-05
109,5.38829814980466e-05
110,5.245576068408026e-05
111,5.2587476221714254e-05
112,5.276021054329315e-05
113,5.28672465668605e-05
114,5.329644909582693e-05
115,5.242253034716634e-05
116,5.148835928993607e-05
117,5.19900614763509e-05
118,5.217515331362708e-05
119,5.1856786132522184e-05
120,5.1150889979531365e-05
121,5.1856330313355586e-05
122,5.153096581022989e-05
123,5.098884167579039e-05
124,5.054645457360819e-05
125,5.1803545723936084e-05
126,5.1264712188406735e-05
127,4.9884108095689286e-05
128,5.030747857153071e-05
129,5.144198857857221e-05
130,5.075268431496445e-05
131,5.01631132954775e-05
132,5.0878530696299375e-05
133,5.0643138471878504e-05
134,5.1254747664471744e-05
135,4.997664954939816e-05
136,5.0698347105804624e-05
137,5.0751265763196324e-05
138,5.054886958240329e-05
139,5.09911208563748e-05
140,5.028298708265004e-05
141,5.037778780758086e-05
142,4.968074027299148e-05
143,5.0418294899423875e-05
144,4.9584374390532456e-05
145,4.976597069154647e-05
146,4.983907162280667e-05
147,5.0286867629795286e-05
148,5.116454042912382e-05
149,4.9772641933357426e-05
150,5.0354845557288235e-05
151,4.904784397000324e-05
152,4.9323898690312856e-05
153,4.989270270617698e-05
154,4.9591230477805874e-05
155,4.952628230769314e-05
156,4.862452503922891e-05
157,4.996505486199588e-05
158,4.997346514162803e-05
159,4.8154176391018796e-05
160,4.911332370772703e-05
161,4.872632072146152e-05
162,4.965803086580343e-05
163,4.922490255542193e-05
164,4.8659600958531707e-05
165,4.8767280964802675e-05
166,4.986544165448517e-05
167,4.867706623980825e-05
168,4.9387255247495374e-05
169,4.884731028136169e-05
170,4.849876083473077e-05
171,4.9309424142937635e-05
172,4.852860124420354e-05
173,4.8540651770075505e-05
174,4.923898273602134e-05
175,4.827038764548161e-05
176,4.809279305627383e-05
177,4.892280356506193e-05
178,4.9286787939952e-05
179,4.806144048706417e-05
180,4.812537131074096e-05
181,4.845729906197692e-05
182,4.8634311568897597e-05
183,4.879304228248356e-05
184,4.892719398372037e-05
185,4.840249676990819e-05
186,4.78286921987697e-05
187,4.86060501273649e-05
188,4.7635737648558786e-05
189,4.902769809573275e-05
190,4.85803756881545e-05
191,4.788157866765815e-05
192,4.7455305831562446e-05
193,4.78134178137535e-05
194,4.757876304805741e-05
195,4.816511057284448e-05
196,4.786423461804681e-05
197,4.893486533411367e-05
198,4.795003040604847e-05
199,4.761070475878462e-05
200,4.834585536491852e-05
201,4.756612955371284e-05
202,4.775987902459384e-05
203,4.719641557565198e-05
204,4.740527098108539e-05
205,4.7713950595441123e-05
206,4.7972996792308505e-05
207,4.788231152541837e-05
208,4.689125627667778e-05
209,4.7342552066906053e-05
210,4.858072475697499e-05
211,4.722722652708609e-05
212,4.743100337602088e-05
213,4.724390616273705e-05
214,4.707122108519486e-05
215,4.707875631904341e-05
216,4.6748973083494994e-05
217,4.729459056941106e-05
218,4.7199406712342285e-05
219,4.782476898034827e-05
220,4.58069223946367e-05
221,4.747068008633391e-05
222,4.7960612436481135e-05
223,4.691582864997933e-05
224,4.690240886252232e-05
225,4.697024882161175e-05
226,4.7897822809686195e-05
227,4.645965456937912e-05
228,4.680113739246427e-05
229,4.7805110232180365e-05
230,4.702321811479793e-05
231,4.727331940842831e-05
232,4.706627469049218e-05
233,4.6470530709876904e-05
234,4.649244391035104e-05
235,4.7096085941967265e-05
236,4.659529476820241e-05
237,4.6574863561615024e-05
238,4.583450086583952e-05
239,4.782112713683135e-05
240,4.6886846951616944e-05
241,4.62666721093375e-05
242,4.701889900099236e-05
243,4.6361761631359305e-05
244,4.6837113986127726e-05
245,4.6383701631910245e-05
246,4.61894895534178e-05
247,4.67569133556549e-05
248,4.5968022711766676e-05
249,4.6278683700593265e-05
250,4.6820506340303537e-05
251,4.6931333215571274e-05
252,4.561167993929533e-05
253,4.4591781284403045e-05
254,4.639657027148112e-05
255,4.6685965532571116e-05
256,4.613744769521629e-05
257,4.6177816486102634e-05
258,4.6354066268682975e-05
259,4.620341482261769e-05
260,4.6033545397691085e-05
261,4.749313820434277e-05
262,4.611948854628019e-05
263,4.6349558612817786e-05
264,4.6144159040001516e-05
265,4.669585406417857e-05
266,4.613945442371029e-05
267,4.594166046817912e-05
268,4.5473199444118965e-05
269,4.5594235316923876e-05
270,4.6194692682230244e-05
271,4.5007213011867366e-05
272,4.600954968130342e-05
273,4.605245706144753e-05
274,4.571268729352363e-05
275,4.691664620679837e-05
276,4.568061903903665e-05
277,4.63318143806165e-05
278,4.560423816410561e-05
279,4.557802005260774e-05
280,4.591558068027412e-05
281,4.603845137203431e-05
282,4.539292999206493e-05
283,4.568857128515072e-05
284,4.5681350622029015e-05
285,4.604028487891249e-05
286,4.597499563914782e-05
287,4.556681679213322e-05
288,4.561826278914268e-05
289,4.564522014392359e-05
290,4.5584997691540436e-05
291,4.5999271909569484e-05
292,4.533581556062397e-05
293,4.5574305161949015e-05
294,4.430569348508463e-05
295,4.519355163101898e-05
296,4.545333514969563e-05
297,4.584402525856619e-05
298,4.5793024392885966e-05
299,4.568282241112848e-05
300,4.454091483879904e-05
301,4.549474159091497e-05
302,4.55845935915547e-05
303,4.573274917857183e-05
304,4.550834140939106e-05
305,4.5152481872221654e-05
306,4.4644657810642364e-05
307,4.5278436298692225e-05
308,4.5485510334991445e-05
309,4.524312561806992e-05
310,4.511634302937495e-05
311,4.5550597019685814e-05
312,4.548339122450467e-05
313,4.491685227225517e-05
314,4.418228118496535e-05
315,4.523829611873361e-05
316,4.499405047831272e-05
317,4.52549445240678e-05
318,4.6321957343032254e-05
319,4.4743352295960025e-05
320,4.488846354647522e-05
321,4.460233008946464e-05
322,4.467003941385394e-05
323,4.501933498325483e-05
324,4.462458951651357e-05
